DIRETORIA REGIONAL,MUNICÍPIO,CÓDIGO CENSO,UNIDADE ESCOLAR,MERENDA ESTADUAL/FEDERAL SALDO ANTERIOR,MANUTENÇÃO SALDO ANTERIOR,MERENDA ESTADUAL/FEDERAL RECEITA,MANUTENÇÃO RECEITA,MERENDA ESTADUAL/FEDERAL DESPESA,MANUTENÇÃO DESPESA,MERENDA ESTADUAL/FEDERAL SALDO ATUAL,MANUTENÇÃO SALDO ATUAL,LATITUDE,LONGITUDE
BAIXADAS LITORÂNEAS,ARARUAMA,33026386,CIEP 253 GUIMARAES ROSA,"16927,43","1512,32",17172,8732,"16693,41","8530,27","17406,02","1714,05",-22.8707008361816,-42.351001739502
BAIXADAS LITORÂNEAS,ARARUAMA,33026394,CIEP 460 THIOPHYLA BRAGANCA,"5710,14","1929,06","4246,4","4831,99","9725,63","6761,05","230,91",0,-22.8504009246826,-42.3328018188477
BAIXADAS LITORÂNEAS,ARARUAMA,33026408,CIEP 148 PROFESSOR CARLOS ELIO VOGAS DA SILVA,"40878,87","15264,01","24606,4","12457,4","15779,85","13718,16","49705,42","14003,25",-22.8652992248535,-42.3410987854004
BAIXADAS LITORÂNEAS,ARARUAMA,33026432,CE EDMUNDO SILVA,"91113,29","8004,1",53702,17496,"26452,69","23096,76","118362,6","2403,34",-22.8689002990723,-42.3389015197754
BAIXADAS LITORÂNEAS,ARARUAMA,33026440,CE PROFESSORA CLARICE COELHO MOREIRA CALDAS,"2206,09","1726,9",8360,3300,"7107,38","3572,85","3458,71","1454,05",-22.8758459306316,-42.3374449963541
BAIXADAS LITORÂNEAS,ARARUAMA,33026726,CE PROFESSOR FONSECA,"1771,32","927,21","5228,8",2064,"6100,87","2011,21","899,25",980,-22.7826995849609,-42.3653984069824
BAIXADAS LITORÂNEAS,ARARUAMA,33026734,CE ANTONIO PINTO DE MORAES,"2693,89","819,99","3131,2",8552,"3186,67",9371,"2638,42","0,99",-22.8013000488281,-42.4253005981445
BAIXADAS LITORÂNEAS,ARARUAMA,33026874,CIEP 384 GONCALVES DIAS,"16584,91","7794,74","14105,6",7568,"7645,17","827,7","23045,34","14535,04",-22.7275009155273,-42.257999420166
BAIXADAS LITORÂNEAS,ARMACAO DOS BUZIOS,33027820,CE JOAO DE OLIVEIRA BOTAS,"19488,27","917,5","25505,6",10068,"28665,25","10565,72","16328,62","419,78",-22.7488994598389,-41.8813018798828
BAIXADAS LITORÂNEAS,ARRAIAL DO CABO,33027102,CE VINTE DE JULHO,"11431,82",0,"7417,6",3108,"18047,77",3108,"801,65",0,-22.9519996643066,-42.0365982055664
BAIXADAS LITORÂNEAS,ARRAIAL DO CABO,33027137,CE ALMIRANTE FREDERICO VILLAR,"7508,51",0,"6679,2",4356,"3838,76",4356,"10348,95",0,-22.9669990539551,-42.0231018066406
BAIXADAS LITORÂNEAS,CABO FRIO,33027285,CIEP 458 HERMES BARCELOS,"2491,63","4311,64",16730,9756,"18580,9","7027,95","640,73","7039,69",-22.8409996032715,-42.0224990844727
BAIXADAS LITORÂNEAS,CABO FRIO,33027293,CIEP 150 PROFESSORA AMELIA FERREIRA DOS SANTOS GABINA,"2588,5","736,44","2097,6",2828,"2955,29","2698,03","1730,81","866,41",-22.9006996154785,-42.0411987304688
BAIXADAS LITORÂNEAS,CABO FRIO,33027307,CIEP 193 WILSON MENDES,"1464,03","863,68","5441,6",4148,"4915,15","3302,5","1990,48","1709,18",-22.8663997650146,-42.0167007446289
BAIXADAS LITORÂNEAS,CABO FRIO,33027315,CE PROFESSOR RENATO AZEVEDO,"112448,96","5104,79","27481,6",10848,"62358,13","8042,84","77572,43","7909,95",-22.8931007385254,-42.0457000732422
BAIXADAS LITORÂNEAS,CABO FRIO,33027323,CE MIGUEL COUTO,"135449,04","45259,23",49248,19440,"88498,09","22928,77","96198,95","41770,46",-22.7129993438721,-43.42919921875
BAIXADAS LITORÂNEAS,CABO FRIO,33027420,EE ASPINO ROCHA,"50229,95","4954,5","12151,31",4548,"10291,28","5869,65","52089,98","3632,85",-22.8735008239746,-42.0183982849121
BAIXADAS LITORÂNEAS,CABO FRIO,33027439,CE PRAIA DO SIQUEIRA,"2468,31","559,9","6145,6",2448,"6515,84","2783,15","2098,07","224,75",-22.8740997314453,-42.0521011352539
BAIXADAS LITORÂNEAS,CABO FRIO,33027447,CE PROFESSOR CORDELINO TEIXEIRA PAULO,"15892,56",78,"10843,2",2916,"10004,05",2994,"16731,71",0,-22.8397998809814,-42.0130996704102
BAIXADAS LITORÂNEAS,CABO FRIO,33027455,IE PROFESSORA ISMAR GOMES DE AZEVEDO,"138295,38","10561,69","94554,66",12216,"60425,55","14970,99","172424,49","7806,7",-22.8791007995605,-42.0164985656738
BAIXADAS LITORÂNEAS,CABO FRIO,33093687,CIEP 357 JOSE DE DOME,"19539,97","8859,2","8756,8",4784,"11276,48","3818,61","17020,29","9824,59",-22.8283996582031,-42.0036010742188
BAIXADAS LITORÂNEAS,CABO FRIO,33093709,CIEP 331 LYSIA BERNARDES,0,"11464,93","19045,2","8799,6","15476,57","16728,04","3568,63","3536,49",-22.6082000732422,-42.0061988830566
BAIXADAS LITORÂNEAS,IGUABA GRANDE,33028583,CIEP 457 DOUTOR JOSE ELIAS MELLO DOS SANTOS,"35425,06","5120,19","22507,2",10496,"23515,85","8617,54","34416,41","6998,65",-22.8349990844727,-42.2224998474121
BAIXADAS LITORÂNEAS,IGUABA GRANDE,33028605,CE DOUTOR FRANCISCO DE PAULA PARANHOS,"35356,26","22105,82","29058,4",10524,"47797,33","15940,34","16617,33","16689,48",-22.8423004150391,-42.2262001037598
BAIXADAS LITORÂNEAS,MARICA,33053910,CE ELISIARIO MATTA,"5578,56","1125,15","55063,15",17748,"58751,91","18502,82","1889,8","370,33",-22.9181003570557,-42.818000793457
BAIXADAS LITORÂNEAS,MARICA,33053952,CE DOMICIO DA GAMA,"38041,22","3461,5",14592,5760,"18638,61",3390,"33994,61","5831,5",-22.915599822998,-42.8068008422852
